300,0,0
297,3,1
294,3,2
291,3,3
288,3,4
285,3,5
282,3,6
279,3,7
276,3,8
273,3,9
270,3,10
267,3,11
264,3,12
261,3,13
258,3,14
255,3,15
252,3,16
249,3,17
246,3,18
243,3,19
240,3,20
237,3,21
234,3,22
231,3,23
228,3,24
225,3,25
222,3,26
219,3,27
216,3,28
213,3,29
210,3,30
207,3,31
204,3,32
201,3,33
198,3,34
195,3,35
192,3,36
189,3,37
186,3,38
183,3,39
180,3,40
177,3,41
174,3,42
171,3,43
168,3,44
165,3,45
162,3,46
159,3,47
156,3,48
153,3,49
150,3,50
147,3,51
144,3,52
141,3,53
138,3,54
135,3,55
132,3,56
129,3,57
126,3,58
123,3,59
120,3,60
117,3,61
114,3,62
111,3,63
108,3,64
105,3,65
102,3,66
99,3,67
96,3,68
93,3,69
90,3,70
87,3,71
84,3,72
81,3,73
78,3,74
75,3,75
72,3,76
69,3,77
66,3,78
63,3,79
60,3,80
57,3,81
54,3,82
51,3,83
48,3,84
45,3,85
42,3,86
39,3,87
36,3,88
33,3,89
30,3,90
27,3,91
24,3,92
21,3,93
18,3,94
15,3,95
12,3,96
9,3,97
6,3,98
3,3,99
YES
